First Name,Last Name,Email,Phone,Date of Birth
John,Smith,john.smith@email.com,+1-555-0123,1985-06-15
Sarah,Johnson,sarah.j@email.com,+1-555-0456,1992-03-22
Michael,Brown,michael.brown@email.com,+1-555-0789,1978-11-08
Emma,Wilson,emma.wilson@email.com,+1-555-0321,1995-09-14
David,Lee,david.lee@email.com,+1-555-0654,1982-01-25
Lisa,Chen,lisa.chen@email.com,+1-555-0987,1988-07-03
Robert,Taylor,robert.taylor@email.com,+1-555-0147,1975-12-19
Maria,Garcia,maria.garcia@email.com,+1-555-0258,1991-05-30
James,Anderson,james.anderson@email.com,+1-555-0369,1983-08-12
Jessica,White,jessica.white@email.com,+1-555-0741,1996-02-07
